date,lake,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndwi_mean,ndwi_median,ndwi_p25,ndwi_p75
2025-01-01,amatitlan,0.06299542786992228,0.04275092936802974,0.014430785676109033,0.08812580534992065,-0.052919287016939785,-0.03509307293256027,-0.08093278463648834,-0.0070191857744501636
2025-02-01,amatitlan,0.09861980892282345,0.027768054897891387,-0.0,0.12062256809338522,-0.07985911300959578,-0.011335186695349208,-0.1111946987199034,0.017185717602851015
2025-03-01,amatitlan,0.19454692445396368,0.14760564459944112,0.04267764703171684,0.31782207547765806,-0.16692450620243632,-0.13772269060421385,-0.3133514986376022,-0.01223531562321663
2025-04-01,amatitlan,0.10991149210183514,0.04175152749490835,-0.0,0.15219537108547795,-0.09877078038463118,-0.03509416287582323,-0.1444585065991683,0.0
2025-05-01,amatitlan,0.1211129906542188,0.09747835905156191,0.03681520231855062,0.1838150289017341,-0.08816628811380567,-0.06952931461601981,-0.1540084388185654,-0.0032397408207343412
2025-06-01,amatitlan,0.20359258099176883,0.19873969946679593,0.11474483530841598,0.29129563769817923,-0.1693528400187839,-0.1685214626391097,-0.2499119406933114,-0.08952081995263649
2025-07-01,amatitlan,0.15404056518513518,0.0964711172807671,0.019327791099301758,0.23709987550483097,-0.12037075953586723,-0.06995551961180752,-0.20140797234576577,0.00045599647852818346
2025-01-01,atitlan,0.13103224578553632,0.0749379652605459,0.0,0.1909323116219668,-0.11703447167840328,-0.06442831215970962,-0.17662337662337663,0.0
2025-02-01,atitlan,0.09321400443485174,0.0452094566569888,0.012264922322158627,0.11746253049843151,-0.07258603643395779,-0.027345393352965923,-0.09600770630418495,0.0
2025-03-01,atitlan,0.0979250481803131,0.029526462395543174,0.0,0.14301572617946345,-0.07640458229155989,-0.008264462809917356,-0.11967407910371754,0.0
2025-04-01,atitlan,0.061252038640433125,0.001266624445851805,-0.005885500267522739,0.07089276760404499,-0.0440499939739281,0.0,-0.05759599332220367,0.024320827943078913
2025-05-01,atitlan,0.04178832006002272,0.01466275659824047,-0.017616912235746317,0.07802964254577158,-0.005442956957819544,0.011852353538774127,-0.044168734491315136,0.05263157894736842
2025-06-01,atitlan,0.05821005071473237,0.04590818363273453,0.01489732921755469,0.09351658201374365,-0.03101306043678839,-0.021164021164021163,-0.06490548849920291,0.00949293818013429
2025-07-01,atitlan,0.10272537467690467,0.07826747720364742,0.02474852307201022,0.15470961444607126,-0.06704414811321192,-0.04468085106382979,-0.11681087762669963,0.0070838252656434475
