date,lake,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndwi_mean,ndwi_median,ndwi_p25,ndwi_p75
2025-01-01,amatitlan,0.04910909447510989,0.03282324055845482,0.007084159818645509,0.07203389830508475,-0.03263616018828512,-0.020088192062714356,-0.05475703606758254,0.010438413361169102
2025-02-01,amatitlan,0.0957255299378125,0.02969690576238267,-0.0,0.12066016846024842,-0.07545032122851962,-0.010143302438140746,-0.10677382319173363,0.01639866263333864
2025-03-01,amatitlan,0.19663265030753727,0.14708442123585727,0.041885298720427136,0.31963508768692006,-0.16753817318802966,-0.14044036595402937,-0.3138719235739653,-0.015295928375546141
2025-04-01,amatitlan,0.10590388634340966,0.03304434661007924,-0.0,0.14516948115039294,-0.09506651390100768,-0.026794060740802636,-0.13928914505283382,0.0
2025-05-01,amatitlan,0.12658994866366097,0.10324521468789837,0.04269914914714748,0.1902516528270975,-0.09190488697244577,-0.07484828051247472,-0.1550081586807525,-0.011377905340368196
2025-06-01,amatitlan,0.192628707263687,0.18433796473207864,0.1029110291102911,0.2818991097922849,-0.16523100065801788,-0.16216216216216217,-0.24761434275293098,-0.08357829415399938
2025-07-01,amatitlan,0.16253147965165984,0.10798473588925642,0.029863309065165954,0.2445387091370857,-0.11483579473381507,-0.06480182621869289,-0.19741100323624594,0.008594251943895626
2025-01-01,atitlan,0.12245412654339614,0.059142386990610786,0.0,0.17694524495677233,-0.11190989944497669,-0.055105348460291734,-0.16659142212189615,0.0
2025-02-01,atitlan,0.09024216077733953,0.04415584415584416,0.012832635418073755,0.11304347826086956,-0.0691131952461859,-0.026149684400360685,-0.09168347904057386,0.0
2025-03-01,atitlan,0.09832884074756451,0.02954431647471207,0.0,0.14353853033238934,-0.07673411853298272,-0.008327550312283136,-0.11996114618746964,0.0
2025-04-01,atitlan,0.06051551057673524,0.0016697770356546508,-0.005240590757503573,0.07095435684647303,-0.04241092444250632,0.0,-0.05498435404559678,0.025360010194978973
2025-05-01,atitlan,0.04118241728866602,0.014075980021189647,-0.01867219917012448,0.077624346427135,-0.006116314862409526,0.011078286558345642,-0.04498928826469888,0.05222734254992319
2025-06-01,atitlan,0.05910781477738884,0.04621072088724584,0.016212487064505003,0.09356458238247375,-0.030980195757430662,-0.020560747663551402,-0.06386740331491712,0.00884660323819062
2025-07-01,atitlan,0.10217473404699302,0.07766990291262135,0.024320457796852647,0.15373685706166523,-0.06722358357753953,-0.04482991664789367,-0.11722619702806825,0.007084661707403472
