date,lake,ndci_mean,ndci_median,ndci_p25,ndci_p75
2025-01-01,amatitlan,0.0428229129080883,0.034782608695652174,0.025618758141554496,0.04741576459826193
2025-02-01,amatitlan,0.06455658771857031,0.039269406392694065,0.027624309392265192,0.06379513865112516
2025-03-01,amatitlan,0.08951155771878064,0.0684285040113261,0.0330109039039076,0.12841661310169838
2025-04-01,amatitlan,0.07825683890990882,0.05073911306432281,0.029391997803494083,0.09577410911212371
2025-05-01,amatitlan,0.05610627362052645,0.05026061057334326,0.028955532574974147,0.0811111111111111
2025-06-01,amatitlan,0.07962853033462493,0.07698533141773808,0.05578342904019688,0.10236220472440945
2025-07-01,amatitlan,0.07472780022191451,0.0530078488302705,0.024804052218682104,0.10069259456579649
2025-01-01,atitlan,0.0959117852342542,0.0697297844347738,0.051118210862619806,0.10512367491166077
2025-02-01,atitlan,0.059065040175884494,0.0477367526649158,0.03347233179308013,0.06535590751866012
2025-03-01,atitlan,0.05951857905182935,0.040345821325648415,0.022753967331156012,0.07350019864918554
2025-04-01,atitlan,0.0495094688562053,0.030943396226415093,0.018668408720353653,0.054420826399126966
2025-05-01,atitlan,0.03605900866679089,0.03162310422717005,0.017514939212858027,0.048268238761974946
2025-06-01,atitlan,0.03999758833335258,0.0381777350016041,0.02854301342615614,0.050541176470588235
2025-07-01,atitlan,0.0502334385720768,0.04369010881923015,0.03230730094123633,0.05924643855678338
